Price,Close,High,Low,Open,Volume
Ticker,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS
Date,,,,,
2018-01-01,1152.2974853515625,1173.726642413129,1147.6805873235503,1168.2822373499241,1351760
2018-01-02,1146.0250244140625,1162.7502941118898,1141.2339498083716,1158.5689501034342,1920290
2018-01-03,1149.2706298828125,1162.4896915777426,1146.0257848322085,1146.3742481201268,1257120
2018-01-04,1157.3062744140625,1159.440438547149,1149.8582861624616,1154.213809973683,913082
2018-01-05,1171.2877197265625,1175.773931582884,1154.214083606091,1154.214083606091,1153706
2018-01-08,1182.2633056640625,1187.6860177167744,1168.0861611484972,1175.9913940966248,1242220
2018-01-09,1179.91162109375,1185.138250644553,1165.777964950664,1182.5249358691515,2149396
2018-01-10,1222.4217529296875,1226.5159041092627,1173.6615629371736,1180.782889218825,3365850
2018-01-11,1215.4090576171875,1229.0853614039243,1211.793951175916,1223.9023300140823,2520744
2018-01-12,1209.24609375,1221.7246289767875,1193.653294686937,1221.7246289767875,3360314
2018-01-15,1196.070556640625,1223.0312092095094,1191.2576810779165,1209.5943743659357,1457214
2018-01-16,1241.6947021484375,1246.3985833787174,1198.0087716403755,1200.3825111444794,4267752
2018-01-17,1258.288818359375,1273.9905003228646,1246.6159952430605,1250.0351233937167,4280806
2018-01-18,1271.029052734375,1277.475249827511,1249.1861413721495,1261.7953626833616,2209478
2018-01-19,1288.9302978515625,1298.8173165189555,1264.691741875465,1276.4081657758013,1820000
2018-01-22,1360.5736083984375,1368.5631361381938,1275.7015172379863,1292.728334203175,4367110
2018-01-23,1354.2869873046875,1371.9032388173673,1349.0698166499496,1359.9407430617157,3239610
2018-01-24,1385.983154296875,1422.8527460894995,1345.839067540398,1349.0480107838384,5621538
2018-01-25,1362.603759765625,1388.2531308535024,1345.11850760426,1386.157501344864,3833844
2018-01-29,1396.5704345703125,1407.9870934837577,1363.0188235213307,1367.1226812515656,3141060
2018-01-30,1376.4874267578125,1398.7314171188336,1372.4926089902006,1388.3406700317807,1574758
2018-01-31,1358.8060302734375,1375.2434209071,1352.8029835948748,1369.5678131382772,3043214
2018-02-01,1370.2657470703125,1392.7061738188474,1348.5237923808425,1363.8915633260438,2400630
2018-02-02,1376.8363037109375,1392.706211800408,1354.9197570560323,1362.1452604442861,2456490
2018-02-05,1354.81103515625,1391.8334777129235,1343.3070802453722,1357.7798355355055,2757742
2018-02-06,1308.55419921875,1343.4372929643775,1303.206033753597,1314.1206571518685,2657306
2018-02-07,1290.130615234375,1323.2892269713402,1286.812526368507,1321.542886849966,2180324
2018-02-08,1298.4915771484375,1321.805288925325,1291.8555039543771,1300.9146461331718,2755004
2018-02-09,1297.400390625,1307.136263201623,1264.6346456756698,1287.9265118386065,2102458
2018-02-12,1295.4791259765625,1319.9497447451226,1290.3492505073675,1300.2815625860217,1974562
2018-02-14,1271.248291015625,1298.6003000654364,1262.8221787559091,1296.6575180311322,2847532
2018-02-15,1277.3824462890625,1284.869837467109,1268.3233062525546,1280.0455512143749,2465236
2018-02-16,1280.52587890625,1309.5806370413652,1276.1381775733569,1276.1381775733569,2515756
2018-02-19,1276.4002685546875,1289.3668249870234,1264.001187494077,1285.7431472611509,1568224
